household_id,util_drivers_2,util_drivers_3,util_drivers_4_up,util_persons_16_17,util_persons_18_24,util_persons_25_34,util_presence_children_0_4,util_presence_children_5_17,util_num_workers_clip_3,util_hh_income_0_30k,util_hh_income_30_75k,util_hh_income_75k_up,util_density_0_10_no_workers,util_density_10_up_no_workers,util_density_0_10_workers,util_density_10_up_workers,util_asc,util_asc_san_francisco,util_asc_solano,util_asc_napa,util_asc_sonoma,util_asc_marin,util_retail_auto_no_workers,util_retail_auto_workers,util_retail_transit_no_workers,util_retail_transit_workers,util_retail_non_motor_no_workers,util_retail_non_motor_workers,util_auto_time_saving_per_worker
1511694,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,30.0,45.0,13.5,0.0,0.0,10.0,12.056656085976961,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.059919357299805,0.0,7.403460502624512,0.0,7.08221435546875,0.4583316743373871
1450206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,30.5,0.0,0.0,0.0,10.0,0.38017783203286015,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.788293838500977,0.0,6.542482376098633,0.0,6.26651668548584,0.31888580322265625
985374,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,30.0,28.0,0.0,0.0,0.0,10.0,0.38017783203286015,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.788293838500977,0.0,6.542482376098633,0.0,6.26651668548584,0.4380945861339569
1821179,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,30.0,45.0,5.0,10.0,52.89338588732935,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.958308219909668,0.0,7.343250751495361,0.0,7.666816234588623,0.0,0.0
2025282,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,30.0,31.740000000000002,0.0,0.0,0.0,10.0,36.99470965368482,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.085410118103027,0.0,6.921069145202637,0.0,7.707876682281494,0.2925385534763336
658792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.1,0.0,0.0,0.0,0.0,10.0,36.99470965368482,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.085410118103027,0.0,6.921069145202637,0.0,7.707876682281494,0.3701283037662506
2224345,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,30.0,45.0,50.0,0.0,0.0,10.0,36.99470965368482,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.085410118103027,0.0,6.921069145202637,0.0,7.707876682281494,0.20287498831748962
774737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,21.0,0.0,0.0,0.0,3.4265046296296298,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.498154640197754,0.0,5.699630260467529,0.0,5.661266326904297,0.5148717164993286
2508315,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,3.0,30.0,45.0,50.0,0.0,0.0,10.0,14.06832965022872,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.062528610229492,0.0,7.0154266357421875,0.0,6.988316535949707,0.3475262224674225
826226,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,30.0,7.5,0.0,0.0,0.0,10.0,35.522048134388626,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.090359687805176,0.0,7.4556732177734375,0.0,7.615859508514404,0.2585858404636383
